top - 20:23:23 up  3:15,  2 users,  load average: 35.26, 39.98, 31.77
Tasks: 493 total,   1 running, 492 sleeping,   0 stopped,   0 zombie
Cpu(s): 10.9%us,  0.6%sy,  0.1%ni, 87.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.3%st
Mem:  61722916k total, 40832272k used, 20890644k free,   110072k buffers
Swap:        0k total,        0k used,        0k free, 22224360k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
21572 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   2:21.29 java               
21577 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   2:25.14 java               
21581 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   2:22.49 java               
21586 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   2:22.02 java               
21610 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   2:04.85 java               
21627 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   2:13.08 java               
21670 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   1:17.62 java               
21703 cassandr  20   0 36.5g  33g  17g S  9.6 56.8   0:09.78 java               
19665 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.48 java               
19667 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.74 java               
19669 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.98 java               
19671 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.96 java               
19672 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.93 java               
19673 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.73 java               
19674 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:04.08 java               
19679 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:03.99 java               
19680 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   1:04.06 java               
19812 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   7:46.30 java               
19813 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   7:31.06 java               
19823 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   5:37.97 java               
19824 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   5:32.11 java               
19840 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   4:06.00 java               
21290 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   5:16.62 java               
21291 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   5:04.46 java               
21381 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   4:35.10 java               
21382 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   4:38.62 java               
21396 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   3:52.32 java               
21426 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   3:45.48 java               
21449 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   3:45.77 java               
21452 cassandr  20   0 36.5g  33g  17g S  7.7 56.8   3:24.50 java               
